variant,n,brier_soft,ece_soft
rho_cal_max,2858.0,0.0008497810616161162,0.009945192670159694
rho_raw_max,2858.0,0.0016219048604614317,0.016150072408199927
rho_raw_mean,2858.0,0.06153234404788465,0.18492943045425178
rho_cal_mean,2858.0,0.07129310141838469,0.19515252660208005
