variant,n,mae,rmse,bias,corr
rho_cal_max,2858.0,0.01643948247105373,0.02915100447010559,0.008285852808544727,0.991386115061827
rho_raw_max,2858.0,0.019396267607023017,0.04027287996234478,0.006713879461526235,0.9918039823769043
rho_raw_mean,2858.0,0.18871689450339138,0.24805713867551696,-0.18492943045425184,0.7412308922212829
rho_cal_mean,2858.0,0.19857854524781737,0.267007680448306,-0.19515252660208005,0.7385337702244507
